21/07/2013 22:49:29.687080 [scalapnt_fractal_2000_cellbound_heuristic] resolved_conflicts 3
21/07/2013 22:49:29.688253 [scalapnt_fractal_2000_cellbound_heuristic] finalized_level 3
21/07/2013 22:49:29.690995 [scalapnt_fractal_2000_cellbound_heuristic] initialized_level 2
21/07/2013 22:49:29.698532 [scalapnt_fractal_2000_cellbound_heuristic] found_conflicts 2
21/07/2013 22:49:29.700132 [scalapnt_fractal_2000_cellbound_heuristic] resolved_conflicts 2
21/07/2013 22:49:29.701311 [scalapnt_fractal_2000_cellbound_heuristic] finalized_level 2
21/07/2013 22:49:29.703862 [scalapnt_fractal_2000_cellbound_heuristic] initialized_level 1
21/07/2013 22:49:29.709549 [scalapnt_fractal_2000_cellbound_heuristic] found_conflicts 1
21/07/2013 22:49:29.710504 [scalapnt_fractal_2000_cellbound_heuristic] resolved_conflicts 1
21/07/2013 22:49:29.711688 [scalapnt_fractal_2000_cellbound_heuristic] finalized_level 1
21/07/2013 22:49:29.714375 [scalapnt_fractal_2000_cellbound_heuristic] initialized_level 0
21/07/2013 22:49:29.720885 [scalapnt_fractal_2000_cellbound_heuristic] found_conflicts 0
21/07/2013 22:49:29.722475 [scalapnt_fractal_2000_cellbound_heuristic] resolved_conflicts 0
21/07/2013 22:49:29.723660 [scalapnt_fractal_2000_cellbound_heuristic] finalized_level 0
21/07/2013 22:49:29.801246 [scalapnt_fractal_2000_cellbound_heuristic] COMMIT
21/07/2013 22:49:29.801740 [scalapnt_fractal_2000_proximity_heuristic] BEGIN_TRANSACTION
21/07/2013 22:49:35.963529 [scalapnt_fractal_2000_proximity_heuristic] initialized
21/07/2013 22:49:35.963897 [scalapnt_fractal_2000_proximity_heuristic] solver "heuristic"
21/07/2013 22:49:35.964207 [scalapnt_fractal_2000_proximity_heuristic] constraints "proximity(10,)"
21/07/2013 22:49:35.967005 [scalapnt_fractal_2000_proximity_heuristic] inputstats {'geometry_types': ['POINT'], 'input': '(select * from pnt_30m_synthetic where x_order <= 2000) t', 'total_rank': 986.24620646657422, 'total_recs': 2000L}
21/07/2013 22:49:35.969594 [scalapnt_fractal_2000_proximity_heuristic] initialized_level 9
21/07/2013 22:49:36.176948 [scalapnt_fractal_2000_proximity_heuristic] found_conflicts 9
21/07/2013 22:49:36.364480 [scalapnt_fractal_2000_proximity_heuristic] resolved_conflicts 9
21/07/2013 22:49:36.365860 [scalapnt_fractal_2000_proximity_heuristic] finalized_level 9
21/07/2013 22:49:36.368527 [scalapnt_fractal_2000_proximity_heuristic] initialized_level 8
21/07/2013 22:49:36.387375 [scalapnt_fractal_2000_proximity_heuristic] found_conflicts 8
21/07/2013 22:49:36.393548 [scalapnt_fractal_2000_proximity_heuristic] resolved_conflicts 8
21/07/2013 22:49:36.394737 [scalapnt_fractal_2000_proximity_heuristic] finalized_level 8
21/07/2013 22:49:36.397254 [scalapnt_fractal_2000_proximity_heuristic] initialized_level 7
21/07/2013 22:49:36.408630 [scalapnt_fractal_2000_proximity_heuristic] found_conflicts 7
21/07/2013 22:49:36.411248 [scalapnt_fractal_2000_proximity_heuristic] resolved_conflicts 7
21/07/2013 22:49:36.412447 [scalapnt_fractal_2000_proximity_heuristic] finalized_level 7
